date,tag,asset,download_count,delta
2026-09-24,v2.8.0,SparkBridge-Provider.modl,2,
2026-09-24,v2.8.0,sparkbridge-signing-cert.pem,3,
2026-09-24,v2.9.0,NOTES.md,1,
2026-09-24,v2.9.0,SHA256SUMS.txt,2,
2026-09-24,v2.9.0,sparkbridge-2.9.0-ign81-bundle.zip,2,
2026-09-24,v2.9.0,sparkbridge-2.9.0-ign83-bundle.zip,2,
2026-09-24,v2.9.0,sparkbridge-broker-extension-2.9.0.zip,1,
2026-09-24,v2.9.0,SparkBridge-Edge.modl,1,
2026-09-24,v2.9.0,SparkBridge-Flow.modl,1,
2026-09-24,v2.9.0,SparkBridge-Host.modl,1,
2026-09-24,v2.9.0,SparkBridge-Provider.modl,1,
2026-09-24,v2.9.0,sparkbridge-signing-cert.pem,1,
2026-09-24,v3.0.0,NOTES.md,0,
2026-09-24,v3.0.0,SHA256SUMS.txt,1,
2026-09-24,v3.0.0,sparkbridge-3.0.0-ign81-bundle.zip,2,
2026-09-24,v3.0.0,sparkbridge-3.0.0-ign83-bundle.zip,0,
2026-09-24,v3.0.0,sparkbridge-broker-extension-3.0.0.zip,1,
2026-09-24,v3.0.0,SparkBridge-Edge.modl,1,
2026-09-24,v3.0.0,SparkBridge-Flow.modl,0,
2026-09-24,v3.0.0,SparkBridge-Host.modl,0,
2026-09-24,v3.0.0,SparkBridge-Provider.modl,0,
2026-09-24,v3.0.0,sparkbridge-signing-cert.pem,1,
2026-09-24,v3.0.0-ign83,NOTES.md,0,
2026-09-24,v3.0.0-ign83,SHA256SUMS.txt,0,
2026-09-24,v3.0.0-ign83,sparkbridge-3.0.0-ign83-bundle.zip,2,
2026-09-24,v3.0.0-ign83,sparkbridge-broker-extension-3.0.0.zip,1,
2026-09-24,v3.0.0-ign83,sparkbridge-signing-cert.pem,1,
2026-09-24,v3.0.1,NOTES.md,1,
2026-09-24,v3.0.1,SHA256SUMS.txt,2,
2026-09-24,v3.0.1,sparkbridge-3.0.1-ign81-bundle.zip,2,
2026-09-24,v3.0.1,sparkbridge-3.0.1-ign83-bundle.zip,1,
2026-09-24,v3.0.1,sparkbridge-broker-extension-3.0.1.zip,1,
2026-09-24,v3.0.1,SparkBridge-Edge.modl,2,
2026-09-24,v3.0.1,SparkBridge-Flow.modl,1,
2026-09-24,v3.0.1,SparkBridge-Host.modl,1,
2026-09-24,v3.0.1,SparkBridge-Provider.modl,1,
2026-09-24,v3.0.1,sparkbridge-signing-cert.pem,1,
2026-09-24,v3.0.1-ign83,NOTES.md,1,
2026-09-24,v3.0.1-ign83,SHA256SUMS.txt,2,
2026-09-24,v3.0.1-ign83,sparkbridge-3.0.1-ign83-bundle.zip,2,
2026-09-24,v3.0.1-ign83,sparkbridge-broker-extension-3.0.1.zip,1,
2026-09-24,v3.0.1-ign83,sparkbridge-signing-cert.pem,1,
2026-09-24,v3.0.2,NOTES.md,0,
2026-09-24,v3.0.2,SHA256SUMS.txt,0,
